Field_Group,Year_Level,B1,B1O,B2,B2O,B3,B3O,B4,,,,,,,,,,,,,,
제어로봇공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,기초 지식이나 사전 경험의 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,디지털•AI 기초 지식 및 개념,,,,,,,,,,,,,,
제어로봇공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,AI사용지원,,,,,,,,,,,,,,
제어로봇공학과,1학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,코딩 및 앱 개발,No Response,질문력,,,,,,,,,,,,,,
제어로봇공학과,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,코딩 및 앱 개발,No Response,필요성,,,,,,,,,,,,,,
제어로봇공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,AI 도구 활용 방법,No Response,No Response,,,,,,,,,,,,,,
제어로봇공학과,1학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,학습 속도를 따라가기 어렵다는 우려,No Response,AI 도구 활용 방법,No Response,꾸준한 연습,,,,,,,,,,,,,,
제어로봇공학과,2학년,평가 부담이 낮은 수업 설계,No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,No Response,,,,,,,,,,,,,,
제어로봇공학과,3학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,No Response,,,,,,,,,,,,,,
제어로봇공학과,2학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,AI 도구 활용 방법,No Response,기초개념과 작동원리등의 기초 배경 지식,,,,,,,,,,,,,,
제어로봇공학과,1학년,전공 및 교과와 연계된 활용 사례 제시,No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,AI 도구 활용 방법,No Response,재력,,,,,,,,,,,,,,
제어로봇공학과 ,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,활용,,,,,,,,,,,,,,
제어로봇공학과 ,1학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,왜 필요한지 필요성을 강조하면 좋을것 같습니다.,,,,,,,,,,,,,,
컴퓨터공학과,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"AI 기본 개념, 잘못된 활용 사례, AI 문해력",,,,,,,,,,,,,,
컴퓨터공학과,대학원생,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,점진적이고 체계적인 학습법과 흥미 위주의 수업,,,,,,,,,,,,,,
컴퓨터공학과,3학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,실습환경,,,,,,,,,,,,,,
컴퓨터공학과,4학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,학습 속도를 따라가기 어렵다는 우려,No Response,"AI 도구 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,"프롬프트, 아이디어, 저작권, 책임",,,,,,,,,,,,,,
컴퓨터공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,AI 기본지식 강화,,,,,,,,,,,,,,
컴퓨터공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",No Response,활용,,,,,,,,,,,,,,
컴퓨터공학과,4학년,전공 및 교과와 연계된 활용 사례 제시,No Response,"일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,AI 윤리 및 책임 있는 활용,No Response,"사실여부 확인하는 법, 저작권 침해없이 이용하는법",,,,,,,,,,,,,,
컴퓨터공학과,3학년,평가 부담이 낮은 수업 설계,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,AI 도구 활용 방법,No Response,"""책임""이라는 키워드가 중요하다고 생각합니다.
AI를 사용하더라도 과제는 결국 본인 이름으로 제출되고, 그 내용에 대한 책임도 학생 본인에게 있다는 인식을 갖게 하는 것이 가장 중요하다고 생각합니다.
채점도 글을 그럴듯하게 썼는지가 아니라, 내용이 맞는지, 논리가 있는지를 중심으로 이루어져야 합니다. (채점자는 문제에 대한 지식을 가지고 있을 것이기 때문에, 지식을 실수하는 hallucination 현상을 채점을 통해 거르기를 반복하다 보면 교육을 통해 책임을 학습한 학생이 실제로 생성형 AI의 출력을 경계하게 되며 신뢰성 있는 사용을 지향하게 할 수 있으리라 생각합니다)

이렇게 되면 학생은 AI가 만들어 준 내용을 그대로 제출하기보다,
한 번 더 읽어보고 틀린 부분은 고치고, 이해가 안 되는 부분은 스스로 수정하는 과정을 거치게 됩니다.
결국 디지털·AI 문해력에서 가장 중요한 것은 AI를 대신 써주는 도구로 사용하는 것이 아니라, 생성된 결과를 책임 있게 검토하고 활용하는 태도라고 생각합니다.",,,,,,,,,,,,,,
컴퓨터공학과,2학년,전공 및 교과와 연계된 활용 사례 제시,No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",No Response,독서습관,,,,,,,,,,,,,,
컴퓨터공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,스스로 문제를 찾고 적합한 도구를 활용하여 해결하는 능력,,,,,,,,,,,,,,
컴퓨터공학과,대학원생,실습 중심의 수업 확대,No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,코딩 및 앱 개발,No Response,바이브코딩,,,,,,,,,,,,,,
컴퓨터공학과,대학원생,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,비용지원,,,,,,,,,,,,,,
컴퓨터공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,"최신 AI 기술 이해, 실무 활용 역량, 글로벌/국내 AI 기술 경쟁 인식",,,,,,,,,,,,,,
컴퓨터공학과,대학원생,전공 및 교과와 연계된 활용 사례 제시,No Response,기초 지식이나 사전 경험의 부족,No Response,디지털·AI의 기초 개념과 작동 원리,No Response,기초 원리와 활용,,,,,,,,,,,,,,
컴퓨터공학과,대학원생,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","(ChatGPT 사용법!, 프롬프트엔지니어링) <-- 이런것 말고 전공에 엮을만한(ex. 화학공학, 생명공학) AI 교과목이 필요함.",일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"디지털·AI의 기초 개념과 작동 원리, 현장 엔지니어(공학자)와의 교류","뻔하게 CNN, RNN, LSTM, Transformer 각각이 뭔지 배우는것이 아니고 특정 분야에 활용할 것이면 그 분야 내용만 위주로 심도있게 배우는게 나을 것 같음.(ex. 생명공학이면 DNA 염기서열의 Transformer 이용 분석.)",자신의 전공분야에 적절한 AI 접목한 활용. (현시대 교육의 가장 큰 문제는 ChatGPT가 만능이라 생각하는 것임),,,,,,,,,,,,,,
컴퓨터공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,,,
컴퓨터공학과,1학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,다양한 Ai도구활용을 위한 무료/공용 I'd 제공,,,,,,,,,,,,,,
컴퓨터공학과,1학년,기타,No Response,기타,No Response,AI 윤리 및 책임 있는 활용,No Response,No Response,,,,,,,,,,,,,,
컴퓨터공학과,2학년,전공 및 교과와 연계된 활용 사례 제시,No Response,"학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"실제 업무환경에서 사용되는 분야, 방법",,,,,,,,,,,,,,
컴퓨터공학과,2학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,"실전,전공 수업에서의 ai 적용 실습",,,,,,,,,,,,,,
컴퓨터공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,코딩 스크립트와 인공지능과의 괴리감 줄이기,,,,,,,,,,,,,,
컴퓨터공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,기초 지식이나 사전 경험의 부족,No Response,코딩 및 앱 개발,No Response,No Response,,,,,,,,,,,,,,
컴퓨터공학과,대학원생,기초 수준의 단계별 교육 제공,No Response,학습 속도를 따라가기 어렵다는 우려,No Response,코딩 및 앱 개발,No Response,사례 제공,,,,,,,,,,,,,,
컴퓨터공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,생성형 AI 제공 및 AI 활용 기회,,,,,,,,,,,,,,
컴퓨터공학과,대학원생,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,AI 문해력이 어떤 내용인지 잘 모르겠으나 AI를 실제 개발에 활용하여 사용하는 경험을 실습을 통해 제공해줄 필요가 있다고 생각합니다.,"아니요, 불가능합니다.",
컴퓨터공학과,3학년,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,독서,"아니요, 불가능합니다.",
컴퓨터공학과,대학원생,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,접근성,,,,,,,,,,,,,,
컴퓨터공학과,4학년,실습 중심의 수업 확대,No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",No Response,올바른 프롬프트 사용,,,,,,,,,,,,,,
항공우주소프트웨어공학,대학원생,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"비판적 사고, 디지털 윤리, 그리고 인공지능의 책임 있는 활용 역량.",,,,,,,,,,,,,,
항공우주소프트웨어공학,4학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,,,
항공우주소프트웨어공학,대학원생,"전공 및 교과와 연계된 활용 사례 제시, 기타",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"AI 도구 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,,,
항공우주소프트웨어공학,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, AI 윤리 및 책임 있는 활용",No Response,AI가 원하는 결과를 잘 도출하기 위해 질문을 잘 하는 법,,,,,,,,,,,,,,
