Academic_Field,Year_Level,Year_Original,E1,E2,E3,E4
영어교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",AI 윤리적 활용
영어교육과,졸업생,졸업생 (임용준비중),"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",기초 지식이나 사전 경험의 부족,"수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용","AI윤리
개인맞춤형 지원"
영어교육과,4학년,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용","AI 윤리, 맞춤형 활용"
영어교육과,졸업생,졸업생 (임용준비중),"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","코딩 및 앱 개발, AI 도구 활용 방법",차근차근 반복하는 것
영어교육과,졸업생,졸업생 (임용준비중),"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","AI 도구 활용 방법, AI 윤리 및 책임 있는 활용","AI윤리, AI활용역량"
영어교육과,졸업생,졸업생 (임용준비중),"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려",수업 설계 및 교육적 활용 방법,비판적 활용 능력
영어교육과,졸업생,졸업생 (현장교사),전공 및 교과와 연계된 활용 사례 제시,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법",AI도구 
일어교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류","AI와의 소통과 활용 방법을 배우고, 수업 구성에 어떻게 사용하면 좋은지 과목별로 현장교사(디지털/AI사용에 경험이 많은)와 교류를 통해 필오성을 느껴야 하는게 우선이라 생각됩니다. 임용에는 필요하지 않지만 실무에서도 꽤 지엽적인 부분이라 필요성을 강조하기보다는 이러한 활용을 통해 타 교사들보다 발전가능성이 높아진다는 점을 강조해야할 것같습니다."
체육교육과,4학년,4학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법","기본적인 지식, 활용법"
체육교육과,1학년,1학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 서로 간의 신뢰를 쌓을 수 있는 프로그램","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",신뢰
체육교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",디지털 리터러시 교육
체육교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",올바른 활용 방법
체육교육과,3학년,3학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",분별력
체육교육과,1학년,1학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, 수업 설계 및 교육적 활용 방법","기초 문해력 수업등의 디지털을 제외한 수업을 제공하고 그 후에 AI를 기술적, 내재화 할 수 있게 실력을 향상 시킬 수 있는 수업을 제공하여 문해력의 부족을 보완하면서 동시에 AI 트렌드를 따라갈 수 있는 체계로 운영될 수 있다면 좋겠다고 생각된다."
체육교육과,1학년,1학년,"기초 수준의 단계별 교육 제공, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",AI에 대한 기초 개념 이해
화학교육과,졸업생,졸업생 (임용준비중),"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",실제 경험 가능한 다양한 배움 기회
화학교육과,4학년,4학년,기초 수준의 단계별 교육 제공,임용과 직접 관련되지 않는 수업이라는 우려,수업 설계 및 교육적 활용 방법,가이드
화학교육과,2학년,2학년,전공 및 교과와 연계된 활용 사례 제시,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,수업 설계 및 교육적 활용 방법,유료 버전 지원
화학교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류",실제 수업에 AI를 접목할 수 있는 역량을 키울 수 있는 수업
화학교육과,3학년,3학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","AI 도구 활용 방법, AI 윤리 및 책임 있는 활용",공감
화학교육과,1학년,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",기초 교육 
화학교육과,3학년,3학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",디지털 리터러시
화학교육과,3학년,3학년,실습 중심의 수업 확대,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, 수업 설계 및 교육적 활용 방법","디지털,AI의 필요성 강조 및 기초지식 강의"
화학교육과,3학년,3학년,기초 수준의 단계별 교육 제공,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,수업 설계 및 교육적 활용 방법,유료 결제 지원
화학교육과,2학년,2학년,실습 중심의 수업 확대,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",디지털 리터러시 역량 강화
화학교육과,2학년,2학년,실습 중심의 수업 확대,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","코딩 및 앱 개발, AI 도구 활용 방법",인공지능 활용법
화학교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시",임용과 직접 관련되지 않는 수업이라는 우려,AI 도구 활용 방법,활용 방안
화학교육과,4학년,4학년,정규 교과 내 필수 또는 선택 과목 개설,"기초 지식이나 사전 경험의 부족, 디지털·AI 학습의 필요성에 대한 확신 부족","AI 도구 활용 방법, AI 윤리 및 책임 있는 활용",비판적 사고
화학교육과,졸업생,졸업생 (현장교사),"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",디지털 리터러시 역량
화학교육과,졸업생,졸업생 (임용준비중),전공 및 교과와 연계된 활용 사례 제시,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,현장 교사와의 교류,활용 방안
화학교육과,졸업생,졸업생 (임용준비중),"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대","기초 지식이나 사전 경험의 부족, 임용과 직접 관련되지 않는 수업이라는 우려","코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법",비판적사고
화학교육과,졸업생,졸업생 (임용준비중),"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",에듀테크 활용 수업 방안
화학교육과,졸업생,졸업생 (임용준비중),"전공 및 교과와 연계된 활용 사례 제시, AI 프로그램 구현 교육",임용과 직접 관련되지 않는 수업이라는 우려,"코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용","정보 처리 능력(정보의 진짜가짜를 판단하고, 원하는 내용만을 추출)"
화학교육과,졸업생,졸업생 (임용준비중),"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",비판적 사고
