Timestamp,Field_Group,Year_Level,B1,B1O,B2,B2O,B3,B3O,B4
1/20/2026 14:41:43,기계공학부,4학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,AI 관련 직무 경험
1/20/2026 14:42:06,AI정보공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,AI 도구 활용 방법,No Response,독서
1/20/2026 14:42:58,컴퓨터공학부,4학년,실습 중심의 수업 확대,No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",No Response,올바른 프롬프트 사용
1/20/2026 14:45:10,AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,No Response
1/20/2026 14:46:30,기계공학부,3학년,"전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기초 지식이나 사전 경험의 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,딥러닝
1/20/2026 14:46:44,AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,코딩 및 앱 개발,No Response,더 많은 활동
1/20/2026 14:47:36,컴퓨터공학과,3학년,평가 부담이 낮은 수업 설계,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,AI 도구 활용 방법,No Response,"""책임""이라는 키워드가 중요하다고 생각합니다.
AI를 사용하더라도 과제는 결국 본인 이름으로 제출되고, 그 내용에 대한 책임도 학생 본인에게 있다는 인식을 갖게 하는 것이 가장 중요하다고 생각합니다.
채점도 글을 그럴듯하게 썼는지가 아니라, 내용이 맞는지, 논리가 있는지를 중심으로 이루어져야 합니다. (채점자는 문제에 대한 지식을 가지고 있을 것이기 때문에, 지식을 실수하는 hallucination 현상을 채점을 통해 거르기를 반복하다 보면 교육을 통해 책임을 학습한 학생이 실제로 생성형 AI의 출력을 경계하게 되며 신뢰성 있는 사용을 지향하게 할 수 있으리라 생각합니다)

이렇게 되면 학생은 AI가 만들어 준 내용을 그대로 제출하기보다,
한 번 더 읽어보고 틀린 부분은 고치고, 이해가 안 되는 부분은 스스로 수정하는 과정을 거치게 됩니다.
결국 디지털·AI 문해력에서 가장 중요한 것은 AI를 대신 써주는 도구로 사용하는 것이 아니라, 생성된 결과를 책임 있게 검토하고 활용하는 태도라고 생각합니다."
1/20/2026 14:49:55,컴퓨터공학과,2학년,전공 및 교과와 연계된 활용 사례 제시,No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",No Response,독서습관
1/20/2026 14:52:37,AI정보공학과,2학년,실습 중심의 수업 확대,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,활용 방법
1/20/2026 15:00:45,컴퓨터공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,스스로 문제를 찾고 적합한 도구를 활용하여 해결하는 능력
1/20/2026 15:00:55,컴퓨터공학과,대학원생,실습 중심의 수업 확대,No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,코딩 및 앱 개발,No Response,바이브코딩
1/20/2026 15:01:43,컴퓨터공학과,대학원생,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,비용지원
1/20/2026 15:02:13,컴퓨터공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,"최신 AI 기술 이해, 실무 활용 역량, 글로벌/국내 AI 기술 경쟁 인식"
1/20/2026 15:02:28,컴퓨터공학과,대학원생,전공 및 교과와 연계된 활용 사례 제시,No Response,기초 지식이나 사전 경험의 부족,No Response,디지털·AI의 기초 개념과 작동 원리,No Response,기초 원리와 활용
1/20/2026 15:03:07,AI정보공학과,1학년,실습 중심의 수업 확대,No Response,기초 지식이나 사전 경험의 부족,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,사례
1/20/2026 15:05:23,컴퓨터공학과,대학원생,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","(ChatGPT 사용법!, 프롬프트엔지니어링) <-- 이런것 말고 전공에 엮을만한(ex. 화학공학, 생명공학) AI 교과목이 필요함.",일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"디지털·AI의 기초 개념과 작동 원리, 현장 엔지니어(공학자)와의 교류","뻔하게 CNN, RNN, LSTM, Transformer 각각이 뭔지 배우는것이 아니고 특정 분야에 활용할 것이면 그 분야 내용만 위주로 심도있게 배우는게 나을 것 같음.(ex. 생명공학이면 DNA 염기서열의 Transformer 이용 분석.)",자신의 전공분야에 적절한 AI 접목한 활용. (현시대 교육의 가장 큰 문제는 ChatGPT가 만능이라 생각하는 것임)
1/20/2026 15:07:58,컴퓨터공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,No Response
1/20/2026 15:08:31,AI정보공학과,3학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,No Response
1/20/2026 15:29:33,컴퓨터공학과,1학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,다양한 Ai도구활용을 위한 무료/공용 I'd 제공
1/20/2026 15:33:46,컴퓨터공학과,1학년,기타,No Response,기타,No Response,AI 윤리 및 책임 있는 활용,No Response,No Response
1/20/2026 15:34:30,AI정보공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,실무에서 사용할수있는 능력
1/20/2026 15:37:05,컴퓨터공학과,2학년,전공 및 교과와 연계된 활용 사례 제시,No Response,"학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"실제 업무환경에서 사용되는 분야, 방법"
1/20/2026 15:42:16,AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",ai툴 사용을 위한 비용,기타,등급 평가로 인한 성적 스트레스,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류, 기타",대학교 수준의 전문적이고 현업에서 사용하는 기술에 대한 교육,"전문성있는 교육, 다양한 ai툴 사용을 위한 구독 비용이나 혜택, 공모전 개최등"
1/20/2026 15:52:02,AI정보공학과,2학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"디지털·AI의 기초 개념과 작동 원리, 현장 엔지니어(공학자)와의 교류",No Response,과제 중심 평가의 꾸준한 실습
1/20/2026 15:54:48,AI정보공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,학습 속도를 따라가기 어렵다는 우려,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,기술 변화 속도가 빠른 만큼 특정 기술보다도 스스로 학습하고 적응하는 능력을 키워주는 교육이 중요하다고 생각합니다.
1/20/2026 15:59:57,AI정보공학과,4학년,정규 교과 내 필수 또는 선택 과목 개설,No Response,학습 속도를 따라가기 어렵다는 우려,No Response,현장 엔지니어(공학자)와의 교류,No Response,강의
1/20/2026 16:00:37,컴퓨터공학과,2학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,"실전,전공 수업에서의 ai 적용 실습"
1/20/2026 16:13:13,AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,No Response
1/20/2026 16:13:23,AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 기타",AI를 활용한 톱다운 형식의 학습이 필요하다고 생각합니다.,기타,"AI로 대체되기 가장 쉬운 단순한 주입식 교육이 아니라, 깊이 있는 이해를 도울 수 있고 효율적으로 공부가 가능하게끔 AI를 수업 전방위에 걸쳐 적극적으로 활용할 수 있도록 도와야 합니다. ","코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"응용력 및 환각을 구별할 수 있는 능력, 그리고 깊이 있는 사고를 유도하는 능력을 기르는 것이 중요합니다. 나머지 능력들은 그 중요성이 점차 낮아질 것입니다. 또한, 복잡한 시스템을 가장 기초적인 단계로 쪼개는 연습을 많이 하도록 교수진들이 유도해야 합니다. 교수진들이 하나부터 열까지 가르치는 교육이 아닌, AI를 전방위에 걸쳐 활용하되 교수진들이 중심을 잡아 학생들을 올바른 길로 유도하는 방향이 가장 바람직하다고 봅니다. AI를 활용하되 환각현상이 발생했을 경우 교수진들이 올바른 피드백을 하는 방향으로 바뀌지 않으면, 대학 교육은 의미가 없을 것입니다. "
1/20/2026 16:14:11,AI정보공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기초 지식이나 사전 경험의 부족,No Response,현장 엔지니어(공학자)와의 교류,No Response,지식
1/20/2026 16:16:07, AI정보공학과,4학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"활용사례, 연계성"
1/20/2026 16:17:57,컴퓨터공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,코딩 스크립트와 인공지능과의 괴리감 줄이기
1/20/2026 16:18:57,컴퓨터공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,기초 지식이나 사전 경험의 부족,No Response,코딩 및 앱 개발,No Response,No Response
1/20/2026 16:40:00,고분자공학과,4학년,실습 중심의 수업 확대,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,AI 도구 활용 방법,No Response, AI의 활용
1/20/2026 17:28:02,AI정보공학과,3학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"학습 속도를 따라가기 어렵다는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",No Response,No Response
1/20/2026 17:31:32,컴퓨터공학과,대학원생,기초 수준의 단계별 교육 제공,No Response,학습 속도를 따라가기 어렵다는 우려,No Response,코딩 및 앱 개발,No Response,사례 제공
1/20/2026 18:48:13,컴퓨터공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,생성형 AI 제공 및 AI 활용 기회
1/20/26 20:29,AI정보공학과,1학년,전공 및 교과와 연계된 활용 사례 제시,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,수업 설계 및 교육적 활용 방법,No Response,평생학습
